FIPS,p_all,p_blm,p_dod,p_doe,p_nps,p_usfs,p_usfws
04011,0.7701268982733513,0.13709174121073434,0,0,0,0.633035157062617,0
01055,0,0,0,0,0,0,0
31123,5.329070077271516e-4,2.664535038635758e-4,0,0,0,0,2.664535038635758e-4
38069,0.018564798286326314,0,0,0,0,0,0.018564798286326314
05141,0.06290322580645161,5.376344086021505e-4,0,0,0,0.06236559139784946,0
48301,0,0,0,0,0,0,0
46019,0.10023866348448687,0.10023866348448687,0,0,0,0,0
32029,0.09579100145137881,0.09579100145137881,0,0,0,0,0
01121,0.09456740442655935,0,0,0,0,0.09456740442655935,0
48165,0,0,0,0,0,0,0
06087,0.02206531332744925,0.02118270079435128,0,0,0,0,8.8261253309797e-4
55001,5.714285714285715e-4,0,0,0,0,0,5.714285714285715e-4
38011,0.04422442244224423,0.04422442244224423,0,0,0,0,0
06031,0.028388533259114945,0.011132758140829391,0.017255775118285556,0,0,0,0
46102,0.004606596646397641,0,0,0,0.002026902524414962,0.002579694121982679,0
08033,0.6088521050737675,0.1324217344368478,0,0,0,0.47643037063691973,0
32011,0.7889470302028826,0.7355182227118333,0,0,0,0.0534288074910493,0
49041,0.7676767676767676,0.16686868686868686,0,0,0.0036363636363636364,0.5971717171717171,0
55045,0,0,0,0,0,0,0
32009,0.9710441334768568,0.9402583423035522,0,0,0.0015069967707212056,0.029278794402583422,0
55019,0,0,0,0,0,0,0
08013,0.34838024429102493,0.006903876792352629,0,0,0.05045140732873075,0.29102496016994156,0
27119,0.029804528740081285,0,0,0,0,0,0.029804528740081285
32033,0.943589074460682,0.7931889352818372,0,0,0.013569937369519834,0.13461203897007654,0.0022181628392484343
16017,0.3901408450704225,0.009859154929577466,0,0,0,0.38028169014084506,0
30101,0.02579876959714229,0.022028180194483032,0,0,0,0,0.003770589402659258
55111,4.551661356395084e-4,0,0,0,0,0,4.551661356395084e-4
56021,0.008621928437993965,0.005173157062796379,0.003448771375197586,0,0,0,0
56019,0.31398246423627135,0.18818643285648362,0,0,0,0.12579603137978773,0
27141,0.10643776824034334,0,0,0,0,0,0.10643776824034334
49027,0.7723158728362938,0.688935399932119,0,0,0,0.08338047290417468,0
38037,9.218713989398478e-4,4.609356994699239e-4,0,0,0,4.609356994699239e-4,0
08041,0.15351036740632956,0.004183339396144053,0.079483448526737,0,0,0.06984357948344852,0
16021,0.6074342701722574,0.005439709882139619,0,0,0,0.5986702931399214,0.003324267150196434
56001,0.2456313289721301,0.10717806255040774,0,0,0,0.13657137736356303,0.0018818890581593333
08027,0.3695991671004685,0.028110359187922956,0,0,0.004685059864653826,0.3368037480478917,0
41033,0.668468045112782,0.28500939849624063,0,0,4.6992481203007516e-4,0.38298872180451127,0
46105,0.07137129109863674,0.004410585404971933,0,0,0,0.0669607056936648,0
53023,0.20415778251599148,5.330490405117271e-4,0,0,0,0.20362473347547974,0
06085,0.013509544787077827,0.0020558002936857563,0,0,0,0,0.01145374449339207
31111,0,0,0,0,0,0,0
06021,0.27074749852854624,0.005591524426133019,0,0,0,0.25338434373160684,0.011771630370806356
05129,0.13033448673587084,0.0011534025374855825,0,0,0.05478662053056517,0.07439446366782007,0
16013,0.6438754727960431,0.35088740180389877,0,0,0.007855688100087285,0.2838231015420425,0.0013092813500145475
16085,0.8519892805607091,9.276437847866419e-4,0,0,0,0.8510616367759225,0
