tribe,time,avg_amen_rank_t1,avg_amen_rank_t2,avg_lat_t1,avg_lon_t1,avg_lat_t2,avg_lon_t2,mid_lat_t1,mid_lon_t1,mid_lat_t2,mid_lon_t2,n_record,n_unique_FIPS_t1,n_unique_FIPS_t2,avg_dist,mid_dist
Cho-ki-men-a,Time 1 only,5.833333333333333,NaN,36.840458473050965,-119.77594107199394,NaN,NaN,36.84177230562359,-119.773753286924,NaN,NaN,6,6,1,NaN,NaN
Choi-nuck,Time 1 only,5.6,NaN,36.69249274353947,-119.74970868215169,NaN,NaN,36.694045152477386,-119.74739209682235,NaN,NaN,5,5,1,NaN,NaN
Chow-chil-lie,Time 1 only,5.833333333333333,NaN,36.840458473050965,-119.77594107199394,NaN,NaN,36.84177230562359,-119.773753286924,NaN,NaN,6,6,1,NaN,NaN
Chow-chilla,Time 1 only,6,NaN,37.21641020326049,-119.76551201770374,NaN,NaN,37.21641020326048,-119.76551201770376,NaN,NaN,1,1,1,NaN,NaN
Chowanoke,Time 1 only,3.6666666666666665,NaN,36.12564101145197,-76.65760827774216,NaN,NaN,36.125864398009746,-76.65773948171756,NaN,NaN,3,3,1,NaN,NaN
Christian Indians or Munsee,Time 1 only,3,NaN,38.5646496070075,-95.28644239784852,NaN,NaN,38.5646496070075,-95.28644239784852,NaN,NaN,1,1,1,NaN,NaN
Chu-nute,Time 1 only,6,NaN,36.03912338475988,-118.68998327620194,NaN,NaN,36.04213608993132,-118.69182383731905,NaN,NaN,4,4,1,NaN,NaN
Co-co-noon,Time 1 only,7,NaN,37.72225394021411,-120.28540160334119,NaN,NaN,37.723324638769064,-120.28613438201151,NaN,NaN,3,3,1,NaN,NaN
Co-com-cah-ra,Time 1 only,6.333333333333333,NaN,33.787756665163954,-116.70959983388082,NaN,NaN,33.79177557461979,-116.70722123946359,NaN,NaN,6,6,1,NaN,NaN
Co-ha-ma,Time 1 only,5.444444444444445,NaN,39.62028733178481,-122.41769576659708,NaN,NaN,39.621491874222585,-122.41636173264395,NaN,NaN,9,9,1,NaN,NaN
Co-lu,Time 1 only,5.444444444444445,NaN,39.62028733178481,-122.41769576659708,NaN,NaN,39.621491874222585,-122.41636173264395,NaN,NaN,9,9,1,NaN,NaN
Co-to-plan-e-nee,Time 1 only,6.4,NaN,37.91124402742752,-120.83890360849057,NaN,NaN,37.91358947386725,-120.83963530457049,NaN,NaN,10,10,1,NaN,NaN
Co-ye-tie,Time 1 only,6,NaN,36.03912338475988,-118.68998327620194,NaN,NaN,36.04213608993132,-118.69182383731905,NaN,NaN,4,4,1,NaN,NaN
